ID	REG	FOCUS	DSID	HAB_CO	HAB_CH	HAB_FI	PRE_CO	PRE_CH	PRE_FI	NPROJ	ACTION	COST	POST_CO	POST_CH	POST_FI
100ts2	Coos	1.0	99ts2	0.0	0.0	0.0059992204638787	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
1ts2	Coos	1.0	NA	0.0318315158222777	0.0	0.0730928767128128	0.0	0.0	0.0	1.0	0.0	260000.0	1.0	1.0	1.0
2ts2	Coos	1.0	NA	0.036941242798811	0.0768566560131678	0.0358218041095684	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
3ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
4ts2	Coos	1.0	NA	0.0	0.0	0.0015411856308222	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
5ts2	Coos	1.0	NA	0.0	0.0	0.0459726969513016	0.0	0.0	0.0	1.0	0.0	260000.0	1.0	1.0	1.0
6ts2	Coos	1.0	NA	0.189729950538234	0.0	0.0538046268554693	0.400000005960465	0.400000005960465	0.0	1.0	0.0	810000.0	1.0	1.0	1.0
7ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
8ts2	Coos	1.0	NA	0.0	0.0	0.0185664035963174	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
133ts2	Coos	1.0	99ts2	0.0	0.0	0.0135585207097616	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
132ts2	Coos	1.0	99ts2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
123ts2	Coos	1.0	NA	0.0	0.0	0.0717680037719218	0.0	0.0	0.0	1.0	0.0	540000.0	1.0	1.0	1.0
124ts2	Coos	1.0	52ts2	0.0	0.0	0.0394311479533492	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
125ts2	Coos	1.0	52ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
128ts2	Coos	1.0	52ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
126ts2	Coos	1.0	48ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
127ts2	Coos	1.0	48ts2	0.0	0.0	0.0113297086629994	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
120ts2	Coos	1.0	NA	0.0	0.0	0.0066660300164107	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
119ts2	Coos	1.0	NA	0.0	0.0	0.0051899603369629	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
101ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
102ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
103ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
104ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
105ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
106ts2	Coos	1.0	NA	0.0980065228919855	0.0	0.0338336411031852	0.0	0.0	0.0	1.0	0.0	540000.0	1.0	1.0	1.0
107ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
108ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
109ts2	Coos	1.0	NA	0.0111438870205799	0.0	0.0027251714617644	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
110ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
111ts2	Coos	1.0	NA	0.0	0.0	0.0063687782815998	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
112ts2	Coos	1.0	NA	0.0	0.0	0.014933375675045	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
